Date,GPR,GPR_percentile,GPR_regime
2019-02,96.80016326904295,56.1122244488978,MODERATE
2019-03,82.32829284667969,29.65931863727455,LOW
2019-04,79.25344848632812,23.246492985971944,LOW
2019-05,106.4719009399414,68.5370741482966,MODERATE
2019-06,106.58845520019533,68.7374749498998,MODERATE
2019-07,93.52125549316406,51.102204408817634,MODERATE
2019-08,103.4044189453125,64.32865731462925,MODERATE
2019-09,90.36798858642578,45.29058116232465,LOW
2019-10,97.83673095703124,57.31462925851704,MODERATE
2019-11,73.07838439941406,15.230460921843688,LOW
2019-12,74.27989196777344,16.633266533066134,LOW
2020-01,138.4209442138672,86.77354709418837,HIGH
2020-02,75.95555877685547,18.637274549098198,LOW
2020-03,81.54003143310547,27.655310621242485,LOW
2020-04,69.33940124511719,12.424849699398798,LOW
2020-05,68.50721740722656,11.422845691382767,LOW
2020-06,71.22785949707031,13.827655310621243,LOW
2020-07,66.47328186035156,10.220440881763528,LOW
2020-08,65.46604919433594,9.418837675350701,LOW
2020-09,80.37738037109375,25.250501002004007,LOW
2020-10,76.08316802978516,19.03807615230461,LOW
2020-11,70.06746673583984,13.026052104208418,LOW
2020-12,64.06729125976562,8.216432865731463,LOW
2021-01,77.418701171875,20.841683366733466,LOW
2021-02,73.95680236816406,15.831663326653308,LOW
2021-03,78.61876678466797,22.244488977955914,LOW
2021-04,88.16622161865234,40.88176352705411,LOW
2021-05,93.00713348388672,50.501002004008015,MODERATE
2021-06,74.12712097167969,16.432865731462925,LOW
2021-07,58.42076873779297,5.811623246492986,LOW
2021-08,89.4865493774414,43.687374749499,LOW
2021-09,80.69696807861328,26.052104208416836,LOW
2021-10,79.02923583984375,22.845691382765533,LOW
2021-11,86.56914520263672,38.476953907815634,LOW
2021-12,105.34542083740234,67.53507014028057,MODERATE
2022-01,138.67498779296875,87.374749498998,HIGH
2022-02,216.1590118408203,97.19438877755512,EXTREME
2022-03,318.9549255371094,98.79759519038076,EXTREME
2022-04,191.14309692382807,96.39278557114228,EXTREME
2022-05,142.25848388671875,88.57715430861724,HIGH
2022-06,130.7073211669922,83.36673346693387,HIGH
2022-07,117.17676544189452,77.15430861723448,HIGH
2022-08,132.86322021484375,84.3687374749499,HIGH
2022-09,131.98587036132812,83.96793587174349,HIGH
2022-10,143.16241455078125,89.17835671342685,HIGH
2022-11,116.7162857055664,76.55310621242485,HIGH
2022-12,111.19593811035156,72.34468937875752,MODERATE
2023-01,104.2670440673828,65.93186372745491,MODERATE
2023-02,120.99437713623048,79.75951903807615,HIGH
2023-03,105.37997436523438,67.73547094188378,MODERATE
2023-04,106.80965423583984,69.13827655310621,MODERATE
2023-05,108.46768188476562,70.14028056112225,MODERATE
2023-06,110.52894592285156,71.9438877755511,MODERATE
2023-07,107.44878387451172,69.53907815631263,MODERATE
2023-08,101.14118194580078,61.92384769539078,MODERATE
2023-09,98.6348114013672,58.31663326653307,MODERATE
2023-10,197.8870086669922,96.59318637274549,EXTREME
2023-11,156.69613647460938,92.78557114228457,EXTREME
2023-12,142.2794647216797,88.77755511022045,HIGH
2024-01,160.3736572265625,93.5871743486974,EXTREME
2024-02,146.59817504882812,89.97995991983969,HIGH
2024-03,133.21316528320312,84.5691382765531,HIGH
2024-04,163.9473419189453,94.18837675350701,EXTREME
2024-05,130.52186584472656,82.96593186372746,HIGH
2024-06,113.0927963256836,74.14829659318637,MODERATE
2024-07,92.3948745727539,48.69739478957916,LOW
2024-08,140.97506713867188,88.17635270541082,HIGH
2024-09,130.35877990722656,82.76553106212425,HIGH
2024-10,130.689208984375,83.16633266533066,HIGH
2024-11,128.90164184570312,82.16432865731463,HIGH
2024-12,142.36643981933594,88.97795591182366,HIGH
2025-01,113.233154296875,74.54909819639279,MODERATE
2025-02,136.9805908203125,85.97194388777555,HIGH
2025-03,174.3096466064453,95.39078156312625,EXTREME
2025-04,140.9822540283203,88.37675350701403,HIGH
2025-05,166.83749389648438,94.58917835671343,EXTREME
2025-06,221.1349029541016,97.39478957915831,EXTREME
2025-07,134.23008728027344,84.96993987975952,HIGH
2025-08,138.98846435546875,87.77555110220442,HIGH
2025-09,126.74058532714844,81.56312625250501,HIGH
2025-10,154.52259826660156,92.58517034068136,EXTREME
2025-11,104.35176849365234,66.13226452905812,MODERATE
2025-12,132.48622131347656,84.1683366733467,HIGH
2026-01,168.62986755371094,94.78957915831664,EXTREME
2026-02,119.86540985107422,79.35871743486975,HIGH
2026-03,330.17681884765625,98.99799599198397,EXTREME
2026-04,252.3643341064453,98.19639278557115,EXTREME
2026-05,203.55667114257807,96.7935871743487,EXTREME
2026-06,179.72244262695312,95.99198396793588,EXTREME
2026-07,152.66822814941406,91.98396793587175,EXTREME
